rank,competitor,dob,nat,sec,pos_sec,pos_full,venue,date,world_athletics_event_ranking_score,men_100,men_100_wind,men_100_score,men_lj,men_lj_wind,men_lj_score,men_sp,men_sp_score,men_hj,men_hj_score,men_400,men_400_score,men_110h,men_110h_wind,men_110h_score,men_dt,men_dt_score,men_pv,men_pv_score,men_jt,men_jt_score,men_1500,men_1500_score,overall_score,average_wind
268,Manuel Eitel,1/28/1997,GER,1,6,6,Filderstadt (GER),6/11/2017,1041,10.48,0.8,980,7.36,0,900,14.07,733,1.93,740,50.65,785,15.3,-2.4,814,42.27,711,4.6,790,53.8,645,05:40:00,348.67,7446,-0.5333333333333333
241,Makenson Gletty,4/2/1999,FRA,1,12,12,"Kadrioru staadion, Tallinn (EST)",7/11/2021,1041,10.92,-0.8,878,7.15,1.7,850,16.36,873,1.9,714,51.77,735,14.3,0.1,936,42.03,706,4.5,760,53.08,634,05:38:00,360.48,7446,0.3333333333333333
231,José Gregorio Lemus,6/4/1991,COL,1,11,11,"Sportplatz Lana, Lana (ITA)",4/28/2019,1041,11.38,-0.6,778,6.89,1.9,788,16.62,890,1.86,679,51.33,754,14.97,0.3,853,46.27,793,4.15,659,64.46,805,05:20:00,446.8,7445,0.5333333333333333
270,Kazuya Katayama,6/14/1995,JPN,1,5,5,Nagano (JPN),6/11/2017,1041,10.89,0.8,885,6.7,0.1,743,13.25,682,1.8,627,50.08,811,15.33,0.6,810,41.89,703,4.7,819,61.14,755,04:51:00,610.63,7445,0.5
234,Chase Dalton,2/1/1989,USA,1,7,7,Marburg (GER),7/27/2014,1041,11.33,-0.6,789,7.06,-0.4,828,13.35,689,1.87,687,51.61,742,15.32,0.8,811,45.23,772,4.61,793,59.87,736,04:53:00,598.76,7445,-0.06666666666666665
235,Dan Kinsey,7/25/1986,USA,1,1,1,"Akron, OH (USA)",5/15/2009,1041,11.7,0.9,711,6.61,0.5,723,15.25,805,1.96,767,53.05,679,15.33,1.9,810,46.45,797,4.65,804,59.31,727,04:49:00,622.91,7445,1.0999999999999999
244,Juuso Hassi,4/4/1993,FIN,1,2,2,Huddinge (SWE),6/12/2016,1041,11.25,-1.3,806,7.02,2.6,818,13.59,703,1.85,670,50.09,810,15.27,-1.6,817,41.81,701,4.42,737,59.28,727,04:43:00,656.93,7445,-0.10000000000000002
231,Ben Ose,11/10/1996,USA,1,9,9,"Austin, TX (USA)",6/6/2019,1041,11.12,0.2,834,7,1.3,814,11.63,584,1.86,679,49.5,838,14.92,-0.2,859,33.83,540,4.91,883,58.98,723,04:38:00,691.03,7445,0.43333333333333335
241,Bas Markies,7/24/1984,NED,1,15,15,Aubagne (FRA),7/5/2015,1041,11.17,-0.1,823,7.05,-0.1,826,13.5,698,1.92,731,51.07,766,14.85,-0.8,868,37.18,607,4.6,790,53.89,646,04:38:00,690.08,7445,-0.3333333333333333
262,Yevgeniy Teptin,3/16/1990,RUS,1,8,8,Cheboksary (RUS),6/3/2012,1041,11.39,0,776,7.14,0.7,847,14.96,787,1.97,776,50.32,800,15.21,0,824,40.31,671,4.5,760,52.58,627,04:57:00,577.33,7445,0.2333333333333333
262,Maxime Maugein,9/27/1992,FRA,1,4,4,Aubagne (FRA),7/8/2012,1041,11.26,0.1,804,6.96,0,804,12.15,616,1.9,714,49.38,843,15.1,1.1,837,37.83,621,4.75,834,48.61,568,04:21:00,804.85,7445,0.4000000000000001
222,Josef Karas,8/20/1978,CZE,1,8,8,Jyväskylä (FIN),7/3/2005,1041,11.13,0.7,832,7.36,0,900,13.03,669,1.95,758,50.67,784,15.54,0.4,785,43.12,728,4.4,731,46.16,532,04:32:00,726.11,7445,0.3666666666666667
273,Guillaume Thierry,9/15/1986,MRI,1,2,2,Réduit (MRI),4/17/2011,1040,11.42,2.9,769,6.9,NA,790,15.25,805,1.87,687,52.74,693,15.36,-3,807,43.7,740,4.4,731,64.89,812,04:51:00,610.21,7444,NA
235,Ben Hazell,10/1/1984,GBR,1,1,1,Herentals (BEL),6/1/2014,1040,11.57,0.2,738,6.7,-0.4,743,13.88,721,1.93,740,51.49,747,15.22,-1.4,823,43.55,737,4.26,691,60.12,740,04:27:00,764.65,7444,-0.5333333333333333
235,Ben Hazell,10/1/1984,GBR,1,1,1,Herentals (BEL),6/1/2014,1040,11.57,0.2,738,6.7,-0.4,743,13.88,721,1.93,740,51.49,747,15.22,-1.4,823,43.55,737,4.26,691,60.12,740,04:27:00,764.65,7444,-0.5333333333333333
271,Rafael Noguera,2/28/1997,CUB,1,3,3,La Habana (CUB),5/27/2017,1040,10.8,-0.8,906,7.12,-0.6,842,11.72,589,1.84,661,49.44,841,14.46,-0.3,916,33.55,535,4,617,59.18,726,04:20:00,811.11,7444,-0.5666666666666667
223,Kip Janvrin,7/8/1965,USA,1,9,9,"Carson, CA (USA)",6/24/2005,1040,11.58,-0.6,736,6.34,-0.6,661,13.63,706,1.82,644,49.29,848,15.5,-1.4,790,42.58,717,4.7,819,58.86,721,04:21:00,802.19,7444,-0.8666666666666666
235,Wolf Mahler,9/26/1994,USA,1,14,14,"Eugene, OR (USA)",6/12/2014,1040,10.83,2.4,899,6.8,1.8,767,11.87,599,1.84,661,48.33,893,15.23,0.3,822,40.38,672,4.4,731,53.08,634,04:26:00,766.91,7444,1.5
273,Jérémy Lelièvre,2/8/1991,FRA,1,4,4,Albi (FRA),7/29/2011,1040,11.13,2.1,832,7.04,1.8,823,14.31,747,1.84,661,49.63,832,15.18,-0.7,828,40.38,672,4.2,673,52.55,626,04:29:00,750.49,7444,1.0666666666666667
245,Sybren Blok,6/25/1996,NED,1,4,4,Hexham (GBR),7/10/2016,1040,10.71,1,926,7.02,2.3,818,12.87,659,1.81,636,50.82,777,14.37,0.8,927,41.63,698,4.65,804,50.84,601,04:53:00,598.47,7444,1.3666666666666665
201,Ranko Leskovar,1/2/1977,SLO,1,20,20,Götzis (AUT),5/30/2004,1040,11.13,1.1,832,7.44,1.4,920,14.11,735,1.97,776,52.74,693,14.66,0,891,37.37,611,4.6,790,49.79,585,04:51:00,611.35,7444,0.8333333333333334
241,Patrick Scherfose,11/28/1991,GER,1,17,17,Tampere (FIN),7/12/2013,1040,11.2,0.8,817,7.01,0.9,816,13.35,689,1.89,705,51.15,762,14.62,-0.3,896,41.37,692,4.8,849,46.4,536,04:39:00,682.69,7444,0.46666666666666673
235,Maksim Fayzulin,1/18/1992,RUS,1,8,8,Cheboksary (RUS),6/10/2014,1040,10.67,0.2,935,7.24,0.8,871,14.84,780,2,803,48.71,875,14.22,0.6,946,39.01,644,4.2,673,41.32,461,05:18:00,456.76,7444,0.5333333333333333
264,Ali Kame,5/21/1984,MAD,1,6,6,Kladno (CZE),6/10/2012,1040,11.39,-1.1,776,7.23,2.2,869,12.86,659,1.92,731,50.2,805,14.85,0,868,38.47,634,4.27,693,60.93,752,04:43:00,657,7443,0.3666666666666667
264,Edward Dunford,9/15/1984,GBR,1,1,1,Bedford (GBR),5/27/2012,1040,11.29,-2.1,797,6.82,3.3,771,15.21,803,1.89,705,50.08,811,15.3,-2,814,40.59,677,4.3,702,59.01,723,04:46:00,640.31,7443,-0.2666666666666668
69,Lorenzo Naidon,6/15/1999,ITA,1,2,2,"Asd Pro Sport, Firenze (ITA)",8/2/2020,1040,10.83,2.3,899,7.3,2.3,886,11.45,573,2.02,822,50.14,808,14.56,0,903,33.93,542,4.6,790,49.58,582,04:46:00,638.41,7443,1.5333333333333332
233,Jose Fernando Ferreira Santana,3/27/1999,BRA,1,2,2,Sao Bernardo do Campo (BRA),6/9/2019,1040,11.21,0.5,814,7.12,0.7,842,12.09,612,1.88,696,50.09,810,15.17,0,829,43.05,727,4.4,731,60.38,744,04:47:00,637,7442,0.39999999999999997
210,Mohamed Ahmed Al Mannai,9/12/1992,QAT,1,5,5,Jakarta (INA),8/26/2018,1040,11.42,1.5,769,6.83,0.3,774,14.32,748,1.91,723,50.05,812,15.19,-0.8,827,42.76,721,4.6,790,56.31,682,04:53:00,596.03,7442,0.3333333333333333
233,Felipe Dos Santos,7/30/1994,BRA,1,2,2,Sao Bernardo do Campo (BRA),6/9/2019,1040,10.94,0.5,874,7.15,0.4,850,13.13,675,1.97,776,50.83,777,14.72,0,884,37.97,623,4.6,790,54.34,653,05:03:00,540.58,7442,0.3
242,Yury Yaremich,10/25/1995,BLR,1,16,16,Aubagne (FRA),7/5/2015,1040,10.79,-0.1,908,7.52,0,940,11.84,597,1.98,785,51.18,761,15.04,-0.8,845,34.5,554,5,910,54.02,648,05:11:00,494.73,7442,-0.3
239,Martin Sisas,2/11/1989,EST,1,1,1,Rakvere (EST),7/14/2014,1040,11.27,2,801,7.11,0.2,840,14.15,738,2.02,822,50.96,771,15.4,1.2,802,44.92,765,4.7,819,53.8,645,05:22:00,439.04,7442,1.1333333333333335
244,Yufei Hu,11/9/1993,CHN,1,2,2,Chongqing (CHN),6/27/2021,1040,11.18,0.5,821,6.71,-0.9,746,13.63,706,1.95,758,50.22,804,14.8,-0.2,874,39.83,661,4.5,760,52.5,626,04:39:00,686.09,7442,-0.20000000000000004
252,Gerson Izaguirre,8/3/1995,VEN,1,10,10,"Stadio Zecchini, Grosseto (ITA)",5/1/2022,1040,10.96,1.9,870,7.49,3,932,14.18,739,1.92,731,50.56,789,14.45,0.1,917,35.69,578,4.35,716,50.45,595,04:57:00,575.58,7442,1.6666666666666667
252,Shun Taue,5/30/1997,JPN,1,3,3,"Athletics Stadium, Akita (JPN)",6/5/2022,1040,11.12,0.1,834,7.23,0.8,869,13.06,671,1.88,696,50.15,808,14.48,-2.3,913,36.72,598,4.3,702,48.8,571,04:24:00,780.33,7442,-0.4666666666666666
224,Marek Görlich,2/7/1979,GER,1,11,11,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",7/3/2005,1040,11.34,0.9,786,6.94,1.6,799,13.41,692,1.95,758,51.25,758,15.26,1,818,40.39,672,4.6,790,53.25,637,04:32:00,731.57,7441,1.1666666666666667
246,Felix Hepperle,11/23/1989,GER,1,1,1,Kienbaum (GER),8/14/2016,1040,11.15,1.1,827,7.08,0,833,12.29,624,1.85,670,48.63,879,15.43,-0.8,798,37.41,612,4.8,849,52.27,622,04:32:00,727.22,7441,0.10000000000000002
273,Austin Bahner,7/7/1991,USA,1,2,2,"Santa Barbara, CA (USA)",4/8/2017,1040,10.77,-0.2,912,7.31,0,888,12.78,654,1.83,653,49,861,15.56,0.1,783,44.83,763,4.9,880,51.17,606,05:21:00,441.16,7441,-0.03333333333333333
243,Ionel Irinel Cojan,5/8/1994,ROU,1,1,1,Pitesti (ROU),6/7/2015,1040,11.08,-0.5,843,7.26,1,876,14.73,773,1.99,794,49.29,848,15.32,-0.3,811,42.78,721,4.1,645,49.04,574,05:00:00,556.09,7441,0.06666666666666667
244,Danilo R. Batista,4/5/1992,CUB,1,3,3,La Habana (CUB),5/27/2015,1040,11.24,0,808,7.3,1.3,886,12.62,644,1.93,740,50.55,789,14.91,1.6,860,41.04,686,4,617,63.43,790,04:49:00,620.91,7440,0.9666666666666668
254,Chen-Yu Wang,12/12/1999,TPE,1,1,1,Yilan (TPE),10/22/2022,1040,11.14,0,830,7.12,0.1,842,15.09,795,2.03,831,51.36,753,14.51,0.6,910,40.52,675,4,617,58.54,716,05:16:00,471.54,7440,0.2333333333333333
266,Lassi Raunio,10/11/1983,FIN,1,2,2,Lahti (FIN),8/24/2012,1040,11.22,-0.5,812,6.64,1.1,729,14.43,755,1.93,740,52.39,708,14.55,1,905,47.14,811,4.45,746,58.54,716,05:07:00,518.09,7440,0.5333333333333333
244,Evan Weinstock,10/30/1991,USA,1,8,8,"Azusa, CA (USA)",4/16/2015,1040,11.08,1,843,7.15,3.1,850,13.25,682,1.85,670,49.58,834,15.02,2.4,847,41.99,705,4.4,731,53.64,643,04:47:00,635.54,7440,2.1666666666666665
172,Oliver Mcneillis,11/24/1987,GBR,1,2,2f1,Ashford (GBR),7/27/2008,1040,10.59,1.3,954,7.13,0,845,11.31,565,1.86,679,48.35,892,14.14,0.6,957,37.05,605,4.8,849,43.36,491,04:52:00,603.58,7440,0.6333333333333333
267,Iván Scolfaro Caetano Da Silva,7/30/1982,BRA,1,3,3,São Paulo (BRA),6/30/2012,1040,11.41,0,771,6.98,0,809,13.34,688,1.92,731,50.08,811,14.78,0.4,876,36.08,585,4.8,849,55.96,677,04:46:00,642.7,7439,0.13333333333333333
247,Taavi Tšernjavski,3/4/1995,EST,1,4,4,Rakvere (EST),8/7/2016,1040,10.96,0.6,870,6.85,-0.2,778,13.9,722,1.86,679,49.8,824,15.21,-0.8,824,45.21,771,4.2,673,55.9,676,04:49:00,622.72,7439,-0.13333333333333336
245,Dong-Hui Choi,12/15/1998,KOR,1,1,1,Jeongseon (KOR),6/26/2021,1040,11.2,-0.3,817,7.1,0.1,838,14.02,730,1.92,731,51.64,741,14.43,0.6,920,37.18,607,4.7,819,53.52,641,04:54:00,595.38,7439,0.13333333333333333
235,Abdel Kader Larrinaga,7/13/1994,POR,1,6,6,"Antonio Domínguez Stadium, Arona (ESP)",6/9/2019,1040,11.26,-1.5,804,7.35,0,898,13.52,699,2.05,850,51.14,763,14.32,0.9,934,38.58,636,3.9,590,53.5,641,04:49:00,624.18,7439,-0.19999999999999998
240,Viktor Fajoyomi,3/27/1991,HUN,1,1,1,"San Diego, CA (USA)",3/28/2014,1040,11.28,1.2,799,7.22,1.2,866,11.98,605,2.1,896,50.27,802,14.87,0.3,865,38.49,634,4.2,673,50.51,596,04:36:00,703.7,7439,0.8999999999999999
247,Ippei Nimaida,7/21/1990,JPN,1,5,5,Nagano (JPN),6/12/2016,1040,10.92,2.3,878,7.2,1.4,862,12.83,657,1.99,794,49.84,822,14.34,2.1,931,35.94,583,4.4,731,46.08,531,04:44:00,650.01,7439,1.9333333333333333
274,Kevin Nielsen,1/12/1993,USA,1,5,5,"Austin, TX (USA)",3/30/2017,1040,11,1.3,861,7.42,1.4,915,11.73,590,2.03,831,48.88,867,14.99,2.8,851,34.68,557,4.7,819,36.6,393,04:28:00,755.31,7439,1.8333333333333333
173,Mikk-Mihkel Arro,3/28/1984,EST,1,4,4,Jyväskylä (FIN),6/8/2008,1040,11.2,0.7,817,6.85,1.7,778,14.65,768,1.9,714,52.05,723,14.86,1.3,867,43.27,731,4.35,716,62.16,770,05:01:00,554.66,7438,1.2333333333333334
249,Brad Culp,5/5/1993,USA,1,1,1,"Fayetteville, AR (USA)",3/26/2016,1040,11.03,0.8,854,6.91,1.1,792,13.03,669,1.91,723,51.75,736,14.92,2.5,859,38.56,635,5.1,941,51.08,605,04:49:00,624.6,7438,1.4666666666666668
241,Theodore Elsenbaumer,NA,USA,1,2,2,"Allendale, MI (USA)",5/23/2014,1040,10.77,1.7,912,7.13,1.1,845,12.5,637,1.83,653,48.86,868,16.01,3.5,732,42.78,721,4.5,760,50.6,597,04:34:00,713.71,7438,2.1
275,Ashley Moloney,3/13/2000,AUS,1,1,1,Townsville (AUS),9/23/2017,1040,10.62,0.6,947,7.17,1.8,854,13.17,678,2.02,822,48.57,882,15.22,-0.5,823,36.42,592,4.4,731,47.15,547,04:59:00,562.88,7438,0.6333333333333333
236,Ludovic Besson,1/27/1998,FRA,1,1,1,Laval (FRA),6/16/2019,1040,10.94,2.2,874,7.07,2.8,830,14.19,740,1.94,749,51.34,754,14.66,1.7,891,38.58,636,4.5,760,46.88,543,04:43:00,661.03,7438,2.2333333333333334
210,Jaakko Ojaniemi,8/28/1980,FIN,1,4,4,Täby (SWE),6/6/2010,1039,11.32,1.8,791,7.23,0.7,869,14.54,761,1.91,723,51.66,740,15.79,0.3,757,42.38,713,4.13,654,61.6,762,04:42:00,667.38,7437,0.9333333333333332
246,Jackson Walker,1/18/1992,USA,1,1,1,"Clarence F. Robison Track, Provo, UT (USA)",5/15/2021,1039,11.24,0,808,6.45,-0.1,686,12.77,653,1.89,705,49.07,858,15.11,0.3,836,41.26,690,4.5,760,60.64,747,04:37:00,694.9,7437,0.06666666666666667
237,Andreas Gustafsson,4/8/1997,SWE,1,2,2,Falun (SWE),8/18/2019,1039,11.27,2,801,7.1,0,838,12.03,608,1.88,696,50.54,790,14.82,1.8,871,40.07,666,4.61,793,56.06,679,04:37:00,695.41,7437,1.2666666666666666
242,Jaroslav Hedvičák,12/13/1990,CZE,1,5,5,Kladno (CZE),6/9/2013,1039,10.87,-0.7,890,6.8,0,767,12.14,615,1.91,723,48.79,871,14.91,1.1,860,37.07,605,4.62,796,50.88,602,04:35:00,708.51,7437,0.1333333333333334
276,Sascha Menn,4/6/1995,GER,1,7,7,Filderstadt (GER),6/11/2017,1039,11.16,-0.1,825,6.87,-0.4,783,13.42,693,1.99,794,50.79,779,15.4,-0.9,802,44,746,4.1,645,67.01,844,05:06:00,525.22,7436,-0.4666666666666666
211,Jakob Samuelsson,2/19/1998,SWE,1,2,2,Pärnu (EST),6/17/2018,1039,11.42,1.5,769,6.45,0.6,686,14.74,774,1.95,758,50.36,798,16.46,-0.6,682,42.07,707,4.48,754,65.63,823,04:39:00,685.27,7436,0.5
236,Paolo Mottadelli,6/7/1979,ITA,1,1,1,Milano (ITA),8/1/2009,1039,11.29,-1.3,797,7.16,1.6,852,14.82,779,1.75,585,51.05,767,14.87,1.5,865,46.42,796,4.6,790,56.36,683,05:06:00,522.04,7436,0.6
246,Derek Masterson,1/30/1990,USA,1,9,9,"CIBC, Toronto (CAN)",7/23/2015,1039,11.43,1.4,767,6.49,3.2,695,14.58,764,1.88,696,52.32,711,15.2,2.4,825,47.5,818,4.8,849,55.3,667,04:45:00,644.66,7436,2.3333333333333335
276,Fredrik Samuelsson,2/16/1995,SWE,1,1,1,Linköping (SWE),9/10/2017,1039,11.1,1,838,6.68,2.4,739,13.44,694,1.93,740,49.91,819,14.91,0.3,860,42.41,714,4.62,796,51.79,615,04:49:00,621.4,7436,1.2333333333333332
238,Andrey Fomichev,3/12/1996,RUS,1,2,2,"Adler, Sochi (RUS)",9/5/2019,1039,11.06,-2.1,847,6.98,1,809,15.04,792,2,803,49.61,833,14.39,1.1,925,35.63,576,4.3,702,51.78,615,05:04:00,534.82,7436,0
236,Ismael González,9/29/1984,ESP,1,12,12,Zaragoza (ESP),6/28/2009,1039,11.41,-1.6,771,6.89,-1,788,14.7,771,1.98,785,51.36,753,15.15,0.1,831,42.79,721,4.8,849,50.45,595,04:58:00,572.03,7436,-0.8333333333333334
193,Michalis Papaioannou,10/9/1982,GRE,1,7,7,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",7/18/2003,1039,10.92,1,878,7.12,0.1,842,12.86,659,1.97,776,49.82,823,15.05,-2.1,843,38.27,629,4.3,702,49.96,588,04:37:00,696.75,7436,-0.3333333333333333
275,Renato Atila Souza Da Camara,9/16/1985,BRA,1,4,4,São Paulo (BRA),8/6/2011,1039,11.17,1.7,823,7.15,0.2,850,14.02,730,2.02,822,49.58,834,14.53,0.1,907,36.64,597,4.4,731,45.73,526,04:50:00,616.75,7436,0.6666666666666666
222,Marcin Dróżdż,3/21/1983,POL,1,10,10,Szczecin (POL),7/8/2007,1039,11.36,2.5,782,7.08,2.8,833,13.48,697,2.07,868,52.98,682,15.18,2.4,828,38.88,642,4.8,849,58.77,719,05:04:00,535.95,7435,2.5666666666666664
276,Tiago Marto,5/5/1986,POR,1,9,9,"National Stadium, Shenzhen (CHN)",8/18/2011,1039,11.29,0.1,797,6.82,-0.5,771,13.56,701,1.95,758,52.21,716,14.85,-0.4,868,40.17,668,4.5,760,57.95,707,04:38:00,689.76,7435,-0.26666666666666666
228,Iván Scolfaro Caetano Da Silva,7/30/1982,BRA,1,7,7,Salo (ITA),5/8/2005,1039,11.19,1.1,819,7.06,0,828,13.15,676,2,803,49.65,831,15,-0.9,850,34.7,558,4.2,673,56.48,685,04:35:00,712.55,7435,0.0666666666666667
222,Luca Ceglie,10/24/1979,ITA,1,2,2,Padova (ITA),7/27/2007,1039,11.18,-3.7,821,7.02,2.4,818,12.76,653,2,803,50.64,785,14.48,1.2,913,38.64,637,4.6,790,53.87,646,04:58:00,569.48,7435,-0.03333333333333344
276,Adam Nejedlý,2/3/1988,CZE,1,16,16,Kladno (CZE),6/16/2011,1039,11.32,-2.4,791,7.13,0.6,845,13.24,682,1.98,785,50.3,801,14.55,-1.5,905,35.89,582,4.6,790,51.84,616,04:46:00,638.59,7435,-1.0999999999999999
205,Simon Ruckdeschel,10/14/1984,GER,1,9,9,"Stadionring, Ratingen (GER)",6/27/2004,1039,11.32,NA,791,7.15,2.5,850,12.69,648,2.01,813,51.26,757,15.4,NA,802,37.83,621,4.8,849,51.65,613,04:38:00,691.67,7435,NA
276,Bastien Auzeil,10/22/1989,FRA,1,13,13,Ostrava (CZE),7/15/2011,1039,11.54,-1.9,744,7.18,1.8,857,15.35,811,1.98,785,51.39,752,15.13,0,834,40.76,680,4.8,849,50.45,595,05:05:00,528.86,7435,-0.03333333333333329
212,Alex Bloom,2/19/1996,USA,1,1,1,"Dallas, TX (USA)",6/3/2018,1039,10.9,1.4,883,7.31,0.3,888,12.53,639,2.1,896,50.39,797,15.38,2.1,804,37.97,623,4.5,760,46.63,539,04:52:00,606.62,7435,1.2666666666666666
247,Aris-Nikolaos Peristeris,1/2/1998,GRE,1,1,1,"Municipal Stadium, Naxos (GRE)",5/23/2021,1039,11.53,3,746,7.28,3.5,881,13.66,708,1.81,636,52.75,692,15.25,2.4,820,41.56,696,4.8,849,64.24,802,04:52:00,604.29,7434,2.966666666666667
211,Nick Trubachick,6/24/1988,USA,1,8,8,"Drake Stadium, Des Moines, IA (USA)",6/26/2010,1039,11.2,1.5,817,6.85,2.4,778,13.84,719,1.93,740,51.31,755,15.05,3,843,40.86,682,4.3,702,58.78,720,04:40:00,678.84,7434,2.3000000000000003
238,Chris Randolph,4/25/1984,USA,1,9,9,Marburg (GER),8/9/2009,1039,11.35,1.6,784,6.65,1.9,732,12.9,661,1.92,731,48.94,864,15.1,0.6,837,36.28,589,4.95,895,54.56,656,04:39:00,685.4,7434,1.3666666666666665
242,Devin Dick,1/12/1990,USA,1,8,8,"Sacramento, CA (USA)",6/27/2014,1039,11.22,1.9,812,7.32,1.7,891,15.3,808,1.93,740,49.85,822,14.86,1.7,867,31.14,487,4.5,760,50.36,594,04:44:00,653.78,7434,1.7666666666666666
229,Andres Raja,6/2/1982,EST,1,12,12,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",7/3/2005,1039,11.08,1.6,843,7.03,0.4,821,13.16,677,1.98,785,49.62,832,14.4,1.1,924,40.36,672,4.2,673,49.76,585,04:49:00,622.85,7434,1.0333333333333334
250,Michele Calvi,6/7/1990,ITA,1,6,6,"Stadio Luigi Ridolfi, Firenze (ITA)",4/30/2016,1039,10.95,1.8,872,6.64,0.1,729,14.85,780,1.92,731,52.55,701,14.63,0.4,895,49.14,852,4.25,688,59.03,723,05:17:00,462.81,7433,0.7666666666666667
230,Paolo Mottadelli,6/7/1979,ITA,1,8,8,Salo (ITA),5/8/2005,1039,11.16,-1.5,825,6.91,0,792,14.98,788,1.82,644,50.13,809,15.17,-0.9,829,42.19,709,4.6,790,55.61,672,04:57:00,575.35,7433,-0.7999999999999999
207,Gaétan Blouin,1/4/1974,FRA,1,14,14,Tallinn (EST),7/4/2004,1039,11.39,1,776,6.7,1,743,12.15,616,1.97,776,50.87,775,14.94,-1.6,857,40.88,682,4.8,849,55.18,666,04:37:00,693.76,7433,0.1333333333333333
250,Jonay Jordan,5/21/1991,ESP,1,2,2,Gijón (ESP),7/24/2016,1039,11.35,-0.9,784,7.1,1.1,838,14.21,741,1.98,785,50.34,799,14.65,0.3,892,39.49,654,4.4,731,54.78,660,05:01:00,549.79,7433,0.16666666666666666
243,Yufei Hu,11/9/1993,CHN,1,1,1,Suzhou (CHN),10/12/2014,1039,11.25,-0.1,806,7.26,0,876,13.52,699,2.01,813,50.11,810,14.68,1,889,40.19,668,4.1,645,50.81,601,04:48:00,626.17,7433,0.3
279,Bastien Auzeil,10/22/1989,FRA,1,5,5,Albi (FRA),7/29/2011,1039,11.19,2.1,819,7.14,3.1,847,14.04,731,1.96,767,51.69,738,15.03,-0.7,846,39.68,658,4.9,880,49.85,586,04:59:00,561.96,7433,1.5
255,Kristo Simulask,3/20/1998,EST,1,6,6,"Mike A. Myers Stadium, Austin, TX (USA)",3/24/2022,1039,10.78,1.6,910,6.99,-0.4,811,13.14,676,1.87,687,49.16,854,15.04,-3.1,845,37.82,620,4.8,849,44.09,502,04:40:00,679.22,7433,-0.6333333333333333
279,Daniel Golubovic,11/29/1993,USA,1,7,7,Düsseldorf (GER),7/30/2017,1039,11.49,-0.7,755,6.58,-0.2,716,13.06,671,1.87,687,51.57,744,14.95,0.5,856,43.11,728,4.65,804,61.47,760,04:35:00,711.27,7432,-0.1333333333333333
230,Francisco José Caro,10/23/1978,ESP,1,16,16,Ried im Innkreis (AUT),7/1/2001,1039,10.94,1,874,7.16,1.5,852,12.83,657,1.86,679,50.57,789,15.25,1.9,820,37.49,614,4.6,790,60.93,752,04:52:00,605.13,7432,1.4666666666666668
70,Hiroyoshi Ushiro,10/25/1994,JPN,1,2,2,"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)",7/24/2020,1039,11.29,0.3,797,6.83,0.1,774,12.48,636,1.95,758,50.37,798,14.63,-0.9,895,37.3,610,4.4,731,59.74,734,04:37:00,699.68,7432,-0.16666666666666666
230,Aleš Pastrňák,4/9/1976,CZE,1,17,17,Ried im Innkreis (AUT),7/1/2001,1039,11.53,1.3,746,6.94,1.1,799,12.49,636,1.95,758,51.33,754,15.09,1.2,839,41.64,698,4.7,819,56.69,688,04:37:00,695.86,7432,1.2000000000000002
212,Björn Johansson,6/10/1905,SWE,1,4,4,"Azusa, CA (USA)",4/15/2010,1039,11.39,2,776,6.65,3.1,732,14.51,760,1.81,636,51.82,733,15.12,2.5,835,46.13,790,5.1,941,55.39,669,05:00:00,560.46,7432,2.533333333333333
224,Chiel Warners,4/2/1978,NED,1,16,16,Tallinn (EST),7/8/2007,1039,11.23,-0.7,810,7.14,0.7,847,14.43,755,1.86,679,50.73,781,15.09,-0.6,839,44.96,766,4.2,673,53.58,642,04:46:00,640.86,7432,-0.19999999999999998
252,Joe Delgado,1/8/1995,USA,1,14,14,"Eugene, OR (USA)",6/9/2016,1039,11.23,1,810,6.91,-0.9,792,12.96,665,1.89,705,49.81,823,15.41,0.9,801,38.68,638,4.4,731,53.09,634,04:16:00,833.85,7432,0.3333333333333333
268,Ben Hazell,10/1/1984,GBR,1,7,7,Kladno (CZE),6/10/2012,1038,11.74,-4.2,703,6.63,0.2,727,13.76,714,1.95,758,50.89,774,15.12,-0.4,835,44.99,767,4.27,693,58.95,722,04:31:00,738.62,7431,-1.4666666666666668
243,Michele Calvi,6/7/1990,ITA,1,13,13,"Mösle-Stadium, Götzis (AUT)",5/26/2013,1038,10.89,1.1,885,6.45,-0.6,686,14.41,753,1.88,696,51.17,761,14.28,-0.5,939,45.8,783,4.06,634,58.21,711,04:56:00,583.71,7431,3.700743415417188e-17
244,Kurt Schneider,8/28/1990,USA,1,2,2,"West Lafayette, IN (USA)",5/17/2014,1038,11.32,2.5,791,7.08,1.9,833,12.72,650,2.09,887,51.31,755,15.08,-0.1,840,45.35,774,4.2,673,51.2,606,04:49:00,622.54,7431,1.4333333333333336
232,Agustín Félix,3/14/1979,ESP,1,13,13,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",7/3/2005,1038,11.37,-0.4,780,7.06,0.4,828,12.74,651,2.04,840,51.97,726,15.14,0.6,833,40.67,678,5,910,50.06,589,04:53:00,596.69,7431,0.19999999999999998
